,station_name,station_address,lat,long
0,Westlake Station,"Westlake Station, 4th Ave, Pine St, Seattle, WA 98101, USA",47.6116785,-122.3365026
1,University Street Station,"University St Station Bay C, Seattle, WA 98101, USA",47.6071282,-122.33567
2,Pioneer Square Station,"Pioneer Square Station, Seattle, WA 98104, USA",47.6025616,-122.3313156
3,International District Station,"International District/ Chinatown Station, Seattle, WA 98104, USA",47.59814799999999,-122.3278887
4,Stadium Station,"Stadium, Seattle, WA 98134, USA",47.5913601,-122.32717
5,SODO Station,"SODO Station, Seattle, WA 98134, USA",47.5811733,-122.3273321
6,Beacon Hill Station,"Beacon Hill Station, Seattle, WA 98144, USA",47.5792182,-122.3117626
7,Mount Baker Station,"Mount Baker, Seattle, WA 98144, USA",47.5766028,-122.2977326
8,Columbia City Station,"Columbia City, 4818 Martin Luther King Jr Way S, Seattle, WA 98108, USA",47.559745,-122.2926415
9,Othello Station,"Othello Station, Seattle, WA 98118, USA",47.5380139,-122.2815066
10,Rainier Beach Station,"Rainier Beach Station, 9132 Martin Luther King Jr Way S, Seattle, WA 98118, USA",47.5224105,-122.2794056
11,Tukwila International Blvd Station,"Tukwila International Blvd Station, 3651 Southcenter Blvd, Tukwila, WA 98188, USA",47.4641792,-122.28823
12,Northgate Station,"401 NE Northgate Way, Seattle, WA 98125, USA",47.7060954,-122.3252431
13,Roosevelt Station,"6612 Roosevelt Way NE, Seattle, WA 98115, USA",47.6768878,-122.3163479
14,U District Station,"4300 Brooklyn Ave NE, Seattle, WA 98105, USA",47.6602123,-122.3139515
15,Capitol Hill Station,"Capitol Hill Station, 140 Broadway E, Seattle, WA 98102, USA",47.6197076,-122.320257
16,Commerce Street,"66S S Hanford St, Seattle, WA 98134, USA",47.5759798,-122.3359382
17,Theater District Station,"Theater District Station, Tacoma, WA 98402, USA",47.256198,-122.4399631
18,Convention Center Station,"Convention Center Station, Tacoma, WA 98402, USA",47.249516,-122.4384431
19,Union Station,"401 S Jackson St, Seattle, WA 98104, USA",47.5986438,-122.3285277
20,Tacoma Dome Station,"Tacoma Dome Station, Tacoma, WA 98421, USA",47.2400587,-122.4275221
21,South 25th Street Station,"South 25th Street Station, Tacoma, WA 98402, USA",47.239081,-122.434202
22,University of Washington Station,"University of Washington Station, 3720 Montlake Blvd NE, Seattle, WA 98195, USA",47.6498399,-122.3037968
23,Airport / SeaTac Station,"Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA",47.4502499,-122.3088165
24,South 200th Street Station,"2702 S 200th St, SeaTac, WA 98198, USA",47.4229277,-122.2989537
